"","age_30_39....both_df..30.to.39.Years.Old.","age_40_49....both_df..40.to.49.Years.Old."
"1080",312,150
"1081",NA,NA
"1082",NA,NA
"1083",NA,NA
"1084",392,106
"1085",834,286
"1086",NA,951
"1087",NA,545
"1088",NA,NA
"1089",NA,NA
"1090",NA,NA
"1091",NA,NA
"1092",201,354
"1093",NA,NA
"1094",NA,550
"1095",661,387
"1096",253,NA
"1097",NA,NA
"1098",521,602
"1099",NA,NA
"1100",NA,NA
"1101",NA,536
"1102",472,429
"1103",NA,NA
"1104",524,391
"1105",NA,NA
"1106",NA,NA
"1107",NA,NA
"1108",831,472
"1109",NA,NA
"1110",NA,NA
"1111",NA,177
"1112",NA,NA
"1113",NA,NA
"1114",940,711
"1115",185,212
"1116",203,205
"1117",246,146
"1118",NA,NA
"1119",NA,NA
"1120",285,NA
"1121",770,637
"1122",301,304
"1123",NA,NA
"1124",478,273
"1125",NA,NA
"1126",NA,64
"1127",508,622
"1128",NA,NA
"1129",782,557
"1130",NA,NA
"1131",NA,837
"1132",289,272
"1133",229,73
"1134",NA,NA
"1135",NA,NA
"1136",NA,NA
"1137",NA,NA
"1138",NA,NA
"1139",NA,NA
"1140",NA,NA
"1141",NA,NA
"1142",NA,NA
"1143",NA,NA
"1144",938,448
"1145",434,369
"1146",382,141
"1147",207,209
"1148",NA,790
"1149",381,185
"1150",649,513
"1151",NA,NA
"1152",NA,NA
"1153",231,69
"1154",NA,558
"1155",455,519
"1156",NA,NA
"1157",NA,NA
"1158",NA,NA
"1159",479,80
"1160",152,NA
"1161",106,144
"1162",116,120
"1163",NA,NA
"1164",731,710
"1165",NA,NA
"1166",169,45
"1167",369,205
"1168",870,529
"1169",185,NA
"1170",NA,869
"1171",NA,NA
"1172",149,208
"1173",NA,NA
"1174",588,463
"1175",557,920
"1176",399,476
"1177",184,176
"1178",145,NA
"1179",348,223
"1180",NA,NA
"1181",547,307
"1182",260,193
"1183",88,121
"1184",154,458
"1185",336,260
"1186",NA,NA
"1187",284,145
"1188",767,291
"1189",321,233
"1190",142,256
"1191",236,198
"1192",259,180
"1193",NA,NA
"1194",324,346
"1195",NA,NA
"1196",153,NA
"1197",NA,NA
"1198",NA,NA
"1199",NA,NA
"1200",807,711
"1201",316,454
"1202",NA,NA
"1203",NA,NA
"1204",NA,NA
"1205",370,306
"1206",238,238
"1207",613,823
"1208",NA,NA
"1209",171,NA
"1210",NA,NA
"1211",NA,241
"1212",372,296
"1213",128,147
"1214",179,NA
"1215",NA,67
"1216",NA,NA
"1217",511,321
"1218",NA,NA
"1219",NA,NA
"1220",NA,NA
"1221",NA,NA
"1222",NA,NA
"1223",NA,NA
"1224",NA,NA
"1225",NA,NA
"1226",NA,NA
"1227",NA,NA
"1228",NA,NA
"1229",NA,NA
"1230",154,167
"1231",NA,NA
"1232",NA,NA
"1233",NA,NA
"1234",124,325
"1235",278,348
"1236",359,339
"1237",NA,NA
"1238",NA,NA
"1239",404,NA
"1240",928,NA
"1241",608,529
"1242",NA,NA
"1243",NA,NA
"1244",NA,NA
"1245",NA,NA
"1246",874,NA
"1247",NA,NA
"1248",NA,972
"1249",NA,NA
"1250",NA,NA
"1251",NA,693
"1252",452,174
"1253",NA,177
"1254",111,140
"1255",NA,NA
"1256",NA,345
"1257",302,94
"1258",315,NA
"1259",349,114
"1260",NA,60
"1261",187,73
"1262",615,159
"1263",260,161
"1264",203,114
"1265",NA,NA
"1266",189,152
"1267",NA,NA
"1268",339,NA
"1269",NA,NA
"1270",163,69
"1271",NA,NA
"1272",NA,NA
"1273",NA,NA
"1274",789,424
"1275",177,195
"1276",NA,NA
"1277",NA,NA
"1278",NA,NA
"1279",367,138
"1280",NA,91
"1281",583,231
"1282",NA,NA
"1283",360,NA
"1284",NA,NA
"1285",NA,NA
"1286",287,283
"1287",129,81
"1288",115,NA
"1289",NA,NA
"1290",658,370
"1291",166,127
"1292",519,318
"1293",694,238
"1294",410,286
"1295",194,182
"1296",950,453
"1297",199,103
"1298",300,113
"1299",791,768
"1300",NA,826
"1301",395,99
"1302",609,535
"1303",119,327
"1304",NA,94
"1305",689,225
"1306",NA,NA
"1307",284,239
"1308",NA,NA
"1309",76,NA
"1310",211,NA
"1311",NA,NA
"1312",701,451
"1313",NA,NA
"1314",305,165
"1315",338,74
"1316",676,380
"1317",170,148
"1318",NA,NA
"1319",NA,NA
"1320",218,274
"1321",NA,NA
"1322",337,304
"1323",898,340
"1324",336,331
"1325",194,183
"1326",53,NA
"1327",NA,NA
"1328",NA,NA
"1329",NA,NA
"1330",NA,NA
"1331",NA,NA
"1332",NA,NA
"1333",NA,NA
"1334",NA,NA
"1335",NA,NA
"1336",NA,NA
"1337",NA,NA
"1338",NA,NA
"1339",NA,NA
"1340",NA,NA
"1341",NA,NA
"1342",NA,NA
"1343",NA,NA
"1344",NA,NA
"1345",NA,NA
"1346",NA,NA
"1347",NA,NA
"1348",NA,NA
"1349",NA,NA
"1350",NA,NA
"1351",NA,NA
"1352",NA,NA
"1353",NA,NA
"1354",NA,NA
"1355",NA,NA
"1356",NA,NA
"1357",NA,NA
"1358",NA,NA
"1359",NA,NA
"1360",NA,NA
"1361",NA,NA
